state,transaction_year,quater,transaction_places,transaction_count,transaction_amount
madhya-pradesh,2020,2,narsinghpur district,937615,1747257364
madhya-pradesh,2020,2,jabalpur district,2318052,4127023650
madhya-pradesh,2020,2,hoshangabad district,1066800,1911483431
madhya-pradesh,2020,2,vidisha district,1117516,2114809476
madhya-pradesh,2020,2,balaghat district,1264576,2249262810
madhya-pradesh,2020,2,singrauli district,1241316,2418071609
madhya-pradesh,2020,2,betul district,1295916,2035034813
madhya-pradesh,2020,2,sidhi district,594134,1251703559
madhya-pradesh,2020,2,datia district,371197,814911322
madhya-pradesh,2020,2,dewas district,1913320,3316587068
madhya-pradesh,2020,2,sheopur district,287598,632810944
madhya-pradesh,2020,2,neemuch district,647097,1070993929
